base_probe_id,symbol,method,repetition,http_status,raw_candle_count,page_count,pagination_complete,repeated_page_token,pagination_cycle_detected,page_bar_counts,token_sequence_sha256
window-2025-12-JPM-sip,JPM,sip,2,200,2718,2,True,False,False,"2661,57",d1296e1c79e4823f3a5280336ad5abc6fd3ff93eb85a7d314140ffd7a829eb47
window-2025-12-JPM-iex,JPM,iex,1,200,1679,1,True,False,False,1679,f018c0dc31b6efa757d7584f5a2adf949265670294b13dd424ca80e6eec3c333
window-2025-12-JPM-iex,JPM,iex,2,200,1679,1,True,False,False,1679,f018c0dc31b6efa757d7584f5a2adf949265670294b13dd424ca80e6eec3c333
overlap-left-SPY-sip,SPY,sip,1,200,1858,1,True,False,False,1858,f018c0dc31b6efa757d7584f5a2adf949265670294b13dd424ca80e6eec3c333
overlap-left-SPY-sip,SPY,sip,2,200,1858,1,True,False,False,1858,f018c0dc31b6efa757d7584f5a2adf949265670294b13dd424ca80e6eec3c333
overlap-left-SPY-iex,SPY,iex,1,200,790,1,True,False,False,790,f018c0dc31b6efa757d7584f5a2adf949265670294b13dd424ca80e6eec3c333
overlap-left-SPY-iex,SPY,iex,2,200,790,1,True,False,False,790,f018c0dc31b6efa757d7584f5a2adf949265670294b13dd424ca80e6eec3c333
overlap-right-SPY-sip,SPY,sip,1,200,2595,2,True,False,False,"2473,122",a53664a23fe9ed97875ab22da8575112bc30c02069784eb76b8d83e88726fa1d
overlap-right-SPY-sip,SPY,sip,2,200,2595,2,True,False,False,"2473,122",a53664a23fe9ed97875ab22da8575112bc30c02069784eb76b8d83e88726fa1d
overlap-right-SPY-iex,SPY,iex,1,200,1106,1,True,False,False,1106,f018c0dc31b6efa757d7584f5a2adf949265670294b13dd424ca80e6eec3c333
overlap-right-SPY-iex,SPY,iex,2,200,1106,1,True,False,False,1106,f018c0dc31b6efa757d7584f5a2adf949265670294b13dd424ca80e6eec3c333
