window,symbol,repetition,convenience_probe_id,raw_probe_id,convenience_hash,raw_hash,classification
window-2025-12-SPY,SPY,1,window-2025-12-SPY-convenience_every_five_minutes-rep1,window-2025-12-SPY-raw_price_history_five_minutes-rep1,27d1b7b09d5a89db8bbd6b42ee5b313f12e3fb2842adbc391011094e4cab0f1e,27d1b7b09d5a89db8bbd6b42ee5b313f12e3fb2842adbc391011094e4cab0f1e,identical
window-2025-12-SPY,SPY,2,window-2025-12-SPY-convenience_every_five_minutes-rep2,window-2025-12-SPY-raw_price_history_five_minutes-rep2,27d1b7b09d5a89db8bbd6b42ee5b313f12e3fb2842adbc391011094e4cab0f1e,27d1b7b09d5a89db8bbd6b42ee5b313f12e3fb2842adbc391011094e4cab0f1e,identical
window-2025-12-AAPL,AAPL,1,window-2025-12-AAPL-convenience_every_five_minutes-rep1,window-2025-12-AAPL-raw_price_history_five_minutes-rep1,2338711e8261d551a0282f8359b3113d23d3623ea3bb9703e5df6a756bc8f6f8,2338711e8261d551a0282f8359b3113d23d3623ea3bb9703e5df6a756bc8f6f8,identical
window-2025-12-AAPL,AAPL,2,window-2025-12-AAPL-convenience_every_five_minutes-rep2,window-2025-12-AAPL-raw_price_history_five_minutes-rep2,2338711e8261d551a0282f8359b3113d23d3623ea3bb9703e5df6a756bc8f6f8,2338711e8261d551a0282f8359b3113d23d3623ea3bb9703e5df6a756bc8f6f8,identical
window-2025-12-JPM,JPM,1,window-2025-12-JPM-convenience_every_five_minutes-rep1,window-2025-12-JPM-raw_price_history_five_minutes-rep1,abf69a2845bb54b00431de254841d48d3f45345d64ff13656b9fd414fbb1b971,abf69a2845bb54b00431de254841d48d3f45345d64ff13656b9fd414fbb1b971,identical
window-2025-12-JPM,JPM,2,window-2025-12-JPM-convenience_every_five_minutes-rep2,window-2025-12-JPM-raw_price_history_five_minutes-rep2,abf69a2845bb54b00431de254841d48d3f45345d64ff13656b9fd414fbb1b971,abf69a2845bb54b00431de254841d48d3f45345d64ff13656b9fd414fbb1b971,identical
overlap-left-SPY,SPY,1,overlap-left-SPY-convenience_every_five_minutes-rep1,overlap-left-SPY-raw_price_history_five_minutes-rep1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,identical
overlap-left-SPY,SPY,2,overlap-left-SPY-convenience_every_five_minutes-rep2,overlap-left-SPY-raw_price_history_five_minutes-rep2,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,identical
overlap-right-SPY,SPY,1,overlap-right-SPY-convenience_every_five_minutes-rep1,overlap-right-SPY-raw_price_history_five_minutes-rep1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,identical
overlap-right-SPY,SPY,2,overlap-right-SPY-convenience_every_five_minutes-rep2,overlap-right-SPY-raw_price_history_five_minutes-rep2,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,identical
