ticker,rule,split,trade_count,complete_count,weeks_in_market
MMM,baseline,development,25,22,286
MMM,baseline,holdout,13,12,156
MMM,baseline,validation,11,10,130
MMM,candidate,development,27,24,312
MMM,candidate,holdout,14,13,169
MMM,candidate,validation,21,12,156
MRK,baseline,development,34,21,273
MRK,baseline,holdout,14,13,169
MRK,baseline,validation,19,12,156
MRK,candidate,development,37,23,299
MRK,candidate,holdout,15,14,182
MRK,candidate,validation,15,13,169
MSFT,baseline,development,32,21,273
MSFT,baseline,holdout,16,15,195
MSFT,baseline,validation,26,13,169
MSFT,candidate,development,36,22,286
MSFT,candidate,holdout,17,16,208
MSFT,candidate,validation,27,13,169
NKE,baseline,development,22,22,286
NKE,baseline,holdout,10,9,117
NKE,baseline,validation,15,12,156
NKE,candidate,development,23,23,299
NKE,candidate,holdout,13,13,169
NKE,candidate,validation,24,13,169
NVDA,baseline,development,33,20,260
NVDA,baseline,holdout,16,15,195
NVDA,baseline,validation,15,12,156
NVDA,candidate,development,34,21,273
NVDA,candidate,holdout,16,15,195
NVDA,candidate,validation,22,12,156
ORCL,baseline,development,25,21,273
ORCL,baseline,holdout,14,14,182
ORCL,baseline,validation,18,13,169
ORCL,candidate,development,28,22,286
ORCL,candidate,holdout,17,16,208
ORCL,candidate,validation,22,13,169
PFE,baseline,development,21,21,273
PFE,baseline,holdout,11,10,130
PFE,baseline,validation,20,12,156
PFE,candidate,development,31,23,299
PFE,candidate,holdout,14,13,169
PFE,candidate,validation,22,13,169
PG,baseline,development,31,21,273
PG,baseline,holdout,14,14,182
PG,baseline,validation,20,12,156
PG,candidate,development,34,23,299
PG,candidate,holdout,15,15,195
PG,candidate,validation,19,12,156
QQQ,baseline,development,35,23,299
QQQ,baseline,holdout,15,14,182
QQQ,baseline,validation,22,13,169
QQQ,candidate,development,27,24,312
QQQ,candidate,holdout,16,15,195
QQQ,candidate,validation,23,13,169
UNH,baseline,development,32,23,299
UNH,baseline,holdout,14,14,182
UNH,baseline,validation,17,13,169
UNH,candidate,development,25,24,312
UNH,candidate,holdout,16,16,208
UNH,candidate,validation,27,13,169
UPS,baseline,development,35,22,286
UPS,baseline,holdout,11,10,130
UPS,baseline,validation,25,11,143
UPS,candidate,development,36,23,299
UPS,candidate,holdout,12,11,143
UPS,candidate,validation,16,12,156
WMT,baseline,development,22,20,260
WMT,baseline,holdout,17,16,208
WMT,baseline,validation,17,12,156
WMT,candidate,development,29,21,273
WMT,candidate,holdout,17,16,208
WMT,candidate,validation,20,13,169
XLB,baseline,development,34,21,273
XLB,baseline,holdout,14,13,169
XLB,baseline,validation,14,12,156
XLB,candidate,development,23,23,299
XLB,candidate,holdout,17,16,208
XLB,candidate,validation,22,13,169
XLE,baseline,development,25,17,221
XLE,baseline,holdout,16,15,195
XLE,baseline,validation,14,7,91
XLE,candidate,development,22,22,286
XLE,candidate,holdout,18,17,221
XLE,candidate,validation,19,11,143
XLF,baseline,development,27,20,260
XLF,baseline,holdout,16,15,195
XLF,baseline,validation,23,11,143
XLF,candidate,development,34,23,299
XLF,candidate,holdout,17,16,208
XLF,candidate,validation,24,12,156
XLI,baseline,development,23,23,299
XLI,baseline,holdout,17,16,208
XLI,baseline,validation,14,13,169
XLI,candidate,development,24,24,312
XLI,candidate,holdout,17,16,208
XLI,candidate,validation,14,13,169
XLK,baseline,development,36,23,299
XLK,baseline,holdout,17,16,208
XLK,baseline,validation,22,13,169
XLK,candidate,development,29,24,312
XLK,candidate,holdout,17,16,208
XLK,candidate,validation,23,13,169
XLP,baseline,development,24,24,312
XLP,baseline,holdout,16,15,195
XLP,baseline,validation,20,12,156
XLP,candidate,development,27,24,312
XLP,candidate,holdout,17,16,208
XLP,candidate,validation,23,13,169
XLU,baseline,development,26,23,299
XLU,baseline,holdout,16,15,195
XLU,baseline,validation,19,11,143
XLU,candidate,development,26,24,312
XLU,candidate,holdout,17,16,208
XLU,candidate,validation,23,13,169
XLV,baseline,development,23,22,286
XLV,baseline,holdout,16,15,195
XLV,baseline,validation,22,13,169
XLV,candidate,development,30,23,299
XLV,candidate,holdout,17,16,208
XLV,candidate,validation,27,13,169
XLY,baseline,development,36,23,299
XLY,baseline,holdout,15,14,182
XLY,baseline,validation,16,13,169
XLY,candidate,development,28,24,312
XLY,candidate,holdout,17,16,208
XLY,candidate,validation,21,13,169
XOM,baseline,development,20,18,234
XOM,baseline,holdout,16,15,195
XOM,baseline,validation,14,8,104
XOM,candidate,development,27,23,299
XOM,candidate,holdout,18,17,221
XOM,candidate,validation,17,11,143
