ticker,data_source,sha256,manifest_rows,validated_rows,data_start,data_end,duplicate_timestamps,missing_required_values,invalid_ohlc_rows,split_event_counts,complete_outcomes,warnings
PG,yahoo,b2f124b9856e984ca2b34f1fcad0a485d412a5643f4a5f1af00381acd9f3e61a,4771,990,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,2,"{'warmup': 157, 'development': 365, 'validation': 209, 'holdout': 259}",{},[]
KO,yahoo,2bc15bcf3bd29fa332b9f8f3d3468496660f8a867eb97c426ccf51f45b9cb068,4763,985,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,10,"{'warmup': 155, 'development': 362, 'validation': 209, 'holdout': 259}",{},[]
WMT,yahoo,954e47be1f2857c0cc71a7ad33770835c6eef8c39f4e9fe67f677797a9b391c3,4770,989,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,3,"{'warmup': 157, 'development': 364, 'validation': 209, 'holdout': 259}",{},[]
COST,yahoo,ce39032d3734a681d66aa478ef721cfca2a48e8f8d5a7bd758d4710c10b2c30b,4771,989,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,2,"{'warmup': 157, 'development': 364, 'validation': 209, 'holdout': 259}",{},[]
HD,yahoo,43030413bd27497f63e75ed0a7c1bc09904dd2321d536e3f142a62d073e62e45,4770,988,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,3,"{'warmup': 156, 'development': 365, 'validation': 209, 'holdout': 258}",{},[]
CAT,yahoo,b23cbf4f1dd2656731bdef838392da037aaf456129376ed9b33a0cd5f95f277e,4771,989,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,2,"{'warmup': 156, 'development': 365, 'validation': 209, 'holdout': 259}",{},[]
HON,yahoo,c88930c8c8afcd09892da196b1b4692395f768ef8781b68bd03614db541fff31,4771,990,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,2,"{'warmup': 157, 'development': 365, 'validation': 209, 'holdout': 259}",{},[]
IBM,yahoo,debb0f7f433f45512b643df3a5dcfab5258a016023c8da8fe2af7835361df578,4760,985,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,13,"{'warmup': 156, 'development': 362, 'validation': 208, 'holdout': 259}",{},[]
CSCO,yahoo,64986c8b6fcb69e35ecc99c0006deaf64077fa913cf770d58d2357b01df08cc1,4767,987,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,6,"{'warmup': 155, 'development': 365, 'validation': 208, 'holdout': 259}",{},[]
ORCL,yahoo,74c6ef7a1d0f0a4aaf4473db9a8f2507b045435d9325251814b3116e2a1c2266,4771,990,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,2,"{'warmup': 157, 'development': 365, 'validation': 209, 'holdout': 259}",{},[]
MCD,yahoo,1dd00be172d2f0ba5fc13ce79aec816addcea98f2bf7983adb9a92bc20eabbe3,4773,990,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,0,"{'warmup': 157, 'development': 365, 'validation': 209, 'holdout': 259}",{},[]
NKE,yahoo,aa78c3fe5440f3e355c6c3910c1bf323d86d7101e300d1384d1845b6cdba9399,4771,990,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,2,"{'warmup': 157, 'development': 365, 'validation': 209, 'holdout': 259}",{},[]
DIS,yahoo,35ece39776b2fda6c254708cadc01b57e2e01183fdc9f8acd9a07d2fb8a0017a,4772,989,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,1,"{'warmup': 157, 'development': 365, 'validation': 208, 'holdout': 259}",{},[]
BA,yahoo,4765f99c3795cfc6081aeff21fa51efce2299699c5a28936527a15fb4100613b,4773,990,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,0,"{'warmup': 157, 'development': 365, 'validation': 209, 'holdout': 259}",{},[]
MMM,yahoo,397ac4c49c80c6dfb9b53334ed9e419218606f53639582ba4e3d5fb88c1772a4,4766,989,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,7,"{'warmup': 156, 'development': 365, 'validation': 209, 'holdout': 259}",{},[]
UPS,yahoo,ddd82b0b0068f8454a78f8ca4ecb2b401d4cc351480c9dfd5e22bcc7a995e842,4771,990,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,2,"{'warmup': 157, 'development': 365, 'validation': 209, 'holdout': 259}",{},[]
QQQ,yahoo,dd7e42905a217c55803c50f5fc2c625b50c553192d122605195497beb3cee16c,4772,990,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,1,"{'warmup': 157, 'development': 365, 'validation': 209, 'holdout': 259}",{},[]
IWM,yahoo,b9620f90405dc742b073b332dcfeec7dddf611f2b97ac368b14e3951e16ef58e,4771,990,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,2,"{'warmup': 157, 'development': 365, 'validation': 209, 'holdout': 259}",{},[]
DIA,yahoo,faaec48f4b558208c625b97559e37ae52972a36ad22e3c08e0232109c37f9a84,4771,989,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,2,"{'warmup': 157, 'development': 364, 'validation': 209, 'holdout': 259}",{},[]
XLB,yahoo,9371bd02185d18a3eb7e117f1a8ed9145350623d7dc51ac3fe5eec841b3316fd,4765,988,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,8,"{'warmup': 155, 'development': 365, 'validation': 209, 'holdout': 259}",{},[]
XLE,yahoo,d58d4b8eace4f41c1e47a8c2e6fa407d7d2373025e5fe9a3dc7df4f387be05a7,4768,990,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,5,"{'warmup': 157, 'development': 365, 'validation': 209, 'holdout': 259}",{},[]
XLF,yahoo,da5558bee6b4ee0976bdc263b1869ec87838d8fba322bb808bb22aa053e53596,4769,988,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,4,"{'warmup': 156, 'development': 364, 'validation': 209, 'holdout': 259}",{},[]
XLI,yahoo,7c9bcc1e0558c5932398d7a354c81dd4ecc1111d21637bbde68f8eef9ac3e1f5,4768,990,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,5,"{'warmup': 157, 'development': 365, 'validation': 209, 'holdout': 259}",{},[]
XLK,yahoo,d04046aece3d9a43426ea07493f7ce735dc4072b1ee23b2bbe96d193e64bd56a,4772,990,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,1,"{'warmup': 157, 'development': 365, 'validation': 209, 'holdout': 259}",{},[]
XLP,yahoo,031bf79863a393cb68ed8b4aed49668419f2ee78b7124bde27437cd4b1bafed5,4772,990,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,1,"{'warmup': 157, 'development': 365, 'validation': 209, 'holdout': 259}",{},[]
XLU,yahoo,154f6cf2be986079547ee1cdb65ba68c49dca6a956ad51ea15f4e0dc9e838da1,4766,987,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,7,"{'warmup': 155, 'development': 364, 'validation': 209, 'holdout': 259}",{},[]
XLV,yahoo,7f86cfde776bfd6147c55dcd3bcf738aa9dfba749e14862fc78136883de076c2,4771,990,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,2,"{'warmup': 157, 'development': 365, 'validation': 209, 'holdout': 259}",{},[]
XLY,yahoo,64bb0b72fa20de6cec0e8d8f7a07cbc8cf906e29be9e24e3790c08040f5039c1,4769,990,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,4,"{'warmup': 157, 'development': 365, 'validation': 209, 'holdout': 259}",{},[]
SPY,yahoo,4e52abd7eac4c314b2deccee12cdd39dee9e22ef17a5430175a82f4ec6ca38fc,4771,989,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,2,"{'warmup': 156, 'development': 365, 'validation': 209, 'holdout': 259}",{},[]
