ticker,data_source,sha256,manifest_rows,validated_rows,data_start,data_end,duplicate_timestamps,missing_required_values,invalid_ohlc_rows,split_event_counts,complete_outcomes,warnings
JNJ,yahoo,efd9eada2f8022aed6113a1907c708e3f20cc75861929820f69e1043f62c3d8b,4770,989,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,3,"{'warmup': 157, 'development': 364, 'validation': 209, 'holdout': 259}",{},[]
MRK,yahoo,b0e763073f1ec6b79022cbfe64a7fd296a86c3b0bffe11baae6dc0b432b15c13,4769,989,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,4,"{'warmup': 157, 'development': 364, 'validation': 209, 'holdout': 259}",{},[]
PFE,yahoo,f13e5d324607775d053ac4801f9cc075a09cb1701cf28779ff4606dbd0a6dc0c,4762,989,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,11,"{'warmup': 157, 'development': 364, 'validation': 209, 'holdout': 259}",{},[]
UNH,yahoo,ce25e3ec3abd3b8caa1b76c5c2e9166da33fc61926845750be5360c9f4656689,4773,990,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,0,"{'warmup': 157, 'development': 365, 'validation': 209, 'holdout': 259}",{},[]
PG,yahoo,0d9a36e4d83b568be6ad6a1b99ac4356d2d6b80d4a68651acdb8b93dfa3fc963,4769,990,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,4,"{'warmup': 157, 'development': 365, 'validation': 209, 'holdout': 259}",{},[]
KO,yahoo,b64650e1690f39d18c8dc168497e48bb23a2288fb82bea39516209dc60d68442,4762,983,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,11,"{'warmup': 156, 'development': 359, 'validation': 209, 'holdout': 259}",{},[]
WMT,yahoo,25c5af6872657686e80a5cb6a86e5bbc262a8a8a6a4a1b17c82bbecd08a0392b,4771,990,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,2,"{'warmup': 157, 'development': 365, 'validation': 209, 'holdout': 259}",{},[]
COST,yahoo,c1cc09a524dc4cc36440a8e72a859495d6a36f211781ee53cff6e757b5cffc97,4772,989,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,1,"{'warmup': 157, 'development': 364, 'validation': 209, 'holdout': 259}",{},[]
HD,yahoo,8fe5ea52f9d08df59ed9051fcdac65f1d3d003e434991a4fb21018cce6592546,4772,989,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,1,"{'warmup': 157, 'development': 364, 'validation': 209, 'holdout': 259}",{},[]
CAT,yahoo,55ecb9d41ee5867354961f7ad0e8d85cae8aee208449e3d1646af75b6a053420,4772,990,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,1,"{'warmup': 157, 'development': 365, 'validation': 209, 'holdout': 259}",{},[]
HON,yahoo,43bd97dbaa8c146adeec0445dc0d66e2eee09c1cd0841040d6adb30992dee3cd,4772,989,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,1,"{'warmup': 157, 'development': 364, 'validation': 209, 'holdout': 259}",{},[]
IBM,yahoo,8c6cef45b684dd8b9d61b58289aac8e9329e9194517e77442abd4c8888e959bb,4763,986,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,10,"{'warmup': 156, 'development': 362, 'validation': 209, 'holdout': 259}",{},[]
CSCO,yahoo,63b32042c2f3683e188068479dc9e97dba4fbdbfc895b102b43455805e478f72,4771,990,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,2,"{'warmup': 157, 'development': 365, 'validation': 209, 'holdout': 259}",{},[]
ORCL,yahoo,7ebfa36a3e336198c0af9f0b6dd83868f1a0fd025079d75147bd26c61bceafa2,4771,989,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,2,"{'warmup': 157, 'development': 364, 'validation': 209, 'holdout': 259}",{},[]
MCD,yahoo,a8f695d472e67a734f2774869def2e9b2d8e8ffd089957539927d93d9c2b7ee4,4772,990,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,1,"{'warmup': 157, 'development': 365, 'validation': 209, 'holdout': 259}",{},[]
NKE,yahoo,2ad2862e81acc5e954fd8b0f270ccab24f01da100069baa9ed393bba340e6a23,4772,990,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,1,"{'warmup': 157, 'development': 365, 'validation': 209, 'holdout': 259}",{},[]
DIS,yahoo,43afed5e5a0aa83fba9f52b21e734649a87ddee8ebe2f997e0fc8f142550a1b1,4771,988,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,2,"{'warmup': 157, 'development': 364, 'validation': 208, 'holdout': 259}",{},[]
BA,yahoo,e9698c88c51cf96367c42f618145bc91262c1101a985d0a9889de1ac8d4524ba,4772,989,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,1,"{'warmup': 157, 'development': 364, 'validation': 209, 'holdout': 259}",{},[]
MMM,yahoo,317a7a567e884a9acda28c73d5c7ea76578c90718cf6fbe8f6df7fdc45cfa176,4769,989,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,4,"{'warmup': 156, 'development': 365, 'validation': 209, 'holdout': 259}",{},[]
UPS,yahoo,e852d9756cc4c9b06668e048515ffdbc351b8d9bdb2bb464cc927b6810e9ce51,4768,989,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,5,"{'warmup': 157, 'development': 365, 'validation': 208, 'holdout': 259}",{},[]
QQQ,yahoo,c6c9a8961f84a0a92c5f7a2d891ad5f285743433e6824b6a465f82cf4a1c3236,4773,990,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,0,"{'warmup': 157, 'development': 365, 'validation': 209, 'holdout': 259}",{},[]
IWM,yahoo,be4e90928d831ca71a9c414a1be7c2c7f7c6d8873923ea53d45acec2e0f9e242,4772,990,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,1,"{'warmup': 157, 'development': 365, 'validation': 209, 'holdout': 259}",{},[]
DIA,yahoo,39a70fe0fde32003b9cfabd0e4d5ff40c49fdee760e05b65799b56065a9b403f,4773,990,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,0,"{'warmup': 157, 'development': 365, 'validation': 209, 'holdout': 259}",{},[]
XLB,yahoo,3729239d5c76ca1adecdcee8d049481bb8f02ec0d577e2ffebf490559c3258e7,4768,989,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,5,"{'warmup': 157, 'development': 364, 'validation': 209, 'holdout': 259}",{},[]
XLE,yahoo,26a98f41379657f42e4aead290bd6c31318153f1aebcc1d8856a0ecbddf52cdd,4770,989,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,3,"{'warmup': 156, 'development': 365, 'validation': 209, 'holdout': 259}",{},[]
XLF,yahoo,c858cc7220ce26f48c667e9d9d4c6df9fc3d516127c8c9ab9c9d313819914e7d,4770,988,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,3,"{'warmup': 155, 'development': 365, 'validation': 209, 'holdout': 259}",{},[]
XLI,yahoo,4b9027b0b64633c17dd3bc833a8240ff1b5212646d45b9cc70edec8adfcbfc8a,4769,988,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,4,"{'warmup': 155, 'development': 365, 'validation': 209, 'holdout': 259}",{},[]
XLK,yahoo,d07cf1c7f0c73b0f23ded0b902b187f92b2fdc32b36eca3326eee3c0e16f5a9d,4772,990,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,1,"{'warmup': 157, 'development': 365, 'validation': 209, 'holdout': 259}",{},[]
XLP,yahoo,02d552778eec4e9fda4e88a2e44871162930f819c493e828a00ced26b613329f,4763,987,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,10,"{'warmup': 155, 'development': 364, 'validation': 209, 'holdout': 259}",{},[]
XLU,yahoo,b526984f2afab2c007039df8de93f01d144aad7c45a6367223f271079e2e8a01,4762,987,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,11,"{'warmup': 154, 'development': 365, 'validation': 209, 'holdout': 259}",{},[]
XLV,yahoo,e7650815f36bb816a5f914854d27f8fac96a3a8539fc4d1c32796a3ec15dd79a,4772,990,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,1,"{'warmup': 157, 'development': 365, 'validation': 209, 'holdout': 259}",{},[]
XLY,yahoo,203387b2ad9fa7f1729c9c7156cafed409b0a7fce2a1f50723ab4d3f47ffd123,4771,990,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,2,"{'warmup': 157, 'development': 365, 'validation': 209, 'holdout': 259}",{},[]
SPY,yahoo,9d48194a3cc3e497c8b1ce01ac39997b3faf0537c6b0a6313f3ea0535d0b7494,4770,987,2007-01-05T21:00:00+00:00,2025-12-19T21:00:00+00:00,0,0,3,"{'warmup': 155, 'development': 364, 'validation': 209, 'holdout': 259}",{},[]
