symbol,effective_month,split,expected_sessions,actual_sessions,expected_bars,actual_bars,missing_bars,missing_bar_rate_pct,duplicate_bars,duplicate_bar_rate_pct,zero_volume_bars,zero_volume_bar_rate_pct,invalid_ohlc_rows,off_grid_bars,premarket_removed,after_hours_removed,early_close_removed,ohlc_consistency_violations,provider_feed,adjustment,requested_symbol,returned_symbol,symbol_mismatch,pagination_complete,rejected,rejection_reason
JNJ,2025-01,unknown,40,40,3120,3120,0,0.0,0,0.0,0,0.0,0,40,640,421,55,0,sip,raw,JNJ,JNJ,False,True,False,
JPM,2025-01,unknown,40,40,3120,3120,0,0.0,0,0.0,0,0.0,0,40,758,553,61,0,sip,raw,JPM,JPM,False,True,False,
KO,2025-01,unknown,40,40,3120,3120,0,0.0,0,0.0,0,0.0,0,40,1439,962,84,0,sip,raw,KO,KO,False,True,False,
LLY,2025-01,unknown,40,40,3120,3120,0,0.0,0,0.0,0,0.0,0,40,621,408,60,0,sip,raw,LLY,LLY,False,True,False,
MA,2025-01,unknown,40,40,3120,3120,0,0.0,0,0.0,0,0.0,0,40,142,79,47,0,sip,raw,MA,MA,False,True,False,
MARA,2025-01,unknown,40,40,3120,3120,0,0.0,0,0.0,0,0.0,0,41,2687,1885,154,0,sip,raw,MARA,MARA,False,True,False,
META,2025-01,unknown,40,40,3120,3120,0,0.0,0,0.0,0,0.0,0,40,2002,1455,114,0,sip,raw,META,META,False,True,False,
MRK,2025-01,unknown,40,40,3120,3120,0,0.0,0,0.0,0,0.0,0,40,634,439,55,0,sip,raw,MRK,MRK,False,True,False,
MRVL,2025-01,unknown,40,40,3120,3120,0,0.0,0,0.0,0,0.0,0,40,1943,1285,115,0,sip,raw,MRVL,MRVL,False,True,False,
MSFT,2025-01,unknown,40,40,3120,3120,0,0.0,0,0.0,0,0.0,0,40,2162,1438,98,0,sip,raw,MSFT,MSFT,False,True,False,
MSTR,2025-01,unknown,40,40,3120,3120,0,0.0,0,0.0,0,0.0,0,41,2660,1849,154,0,sip,raw,MSTR,MSTR,False,True,False,
MU,2025-01,unknown,40,40,3120,3120,0,0.0,0,0.0,0,0.0,0,41,2440,1781,141,0,sip,raw,MU,MU,False,True,False,
NFLX,2025-01,unknown,40,40,3120,3120,0,0.0,0,0.0,0,0.0,0,40,857,619,65,0,sip,raw,NFLX,NFLX,False,True,False,
NOW,2025-01,unknown,40,40,3120,3115,5,0.1603,0,0.0,0,0.0,0,40,218,210,47,0,sip,raw,NOW,NOW,False,True,False,
NVDA,2025-01,unknown,40,40,3120,3120,0,0.0,0,0.0,0,0.0,0,41,2706,1891,156,0,sip,raw,NVDA,NVDA,False,True,False,
ORCL,2025-01,unknown,40,40,3120,3120,0,0.0,0,0.0,0,0.0,0,40,1451,1052,62,0,sip,raw,ORCL,ORCL,False,True,False,
PLTR,2025-01,unknown,40,40,3120,3120,0,0.0,0,0.0,0,0.0,0,41,2705,1891,156,0,sip,raw,PLTR,PLTR,False,True,False,
QCOM,2025-01,unknown,40,40,3120,3120,0,0.0,0,0.0,0,0.0,0,40,1277,722,73,0,sip,raw,QCOM,QCOM,False,True,False,
RGTI,2025-01,unknown,40,40,3120,3120,0,0.0,0,0.0,0,0.0,0,41,2706,1891,156,0,sip,raw,RGTI,RGTI,False,True,False,
SMCI,2025-01,unknown,40,40,3120,3120,0,0.0,0,0.0,0,0.0,0,41,2646,1883,145,0,sip,raw,SMCI,SMCI,False,True,False,
SOUN,2025-01,unknown,40,40,3120,3120,0,0.0,0,0.0,0,0.0,0,41,2681,1890,156,0,sip,raw,SOUN,SOUN,False,True,False,
TMO,2025-01,unknown,40,40,3120,3119,1,0.0321,0,0.0,0,0.0,0,40,72,64,43,0,sip,raw,TMO,TMO,False,True,False,
TSLA,2025-01,unknown,40,40,3120,3120,0,0.0,0,0.0,0,0.0,0,41,2706,1891,156,0,sip,raw,TSLA,TSLA,False,True,False,
UBER,2025-01,unknown,40,40,3120,3120,0,0.0,0,0.0,0,0.0,0,41,1982,1667,124,0,sip,raw,UBER,UBER,False,True,False,
UNH,2025-01,unknown,40,40,3120,3120,0,0.0,0,0.0,0,0.0,0,40,542,429,53,0,sip,raw,UNH,UNH,False,True,False,
V,2025-01,unknown,40,40,3120,3120,0,0.0,0,0.0,0,0.0,0,40,328,244,49,0,sip,raw,V,V,False,True,False,
WFC,2025-01,unknown,40,40,3120,3120,0,0.0,0,0.0,0,0.0,0,40,671,470,58,0,sip,raw,WFC,WFC,False,True,False,
WMT,2025-01,unknown,40,40,3120,3120,0,0.0,0,0.0,0,0.0,0,41,1449,1133,105,0,sip,raw,WMT,WMT,False,True,False,
XOM,2025-01,unknown,40,40,3120,3120,0,0.0,0,0.0,0,0.0,0,40,1210,817,75,0,sip,raw,XOM,XOM,False,True,False,
SPY,2025-01,unknown,40,40,3120,3120,0,0.0,0,0.0,0,0.0,0,41,2571,1834,143,0,sip,raw,SPY,SPY,False,True,False,
QQQ,2025-01,unknown,40,40,3120,3120,0,0.0,0,0.0,0,0.0,0,41,2685,1844,148,0,sip,raw,QQQ,QQQ,False,True,False,
IWM,2025-01,unknown,40,40,3120,3120,0,0.0,0,0.0,0,0.0,0,40,2592,1698,133,0,sip,raw,IWM,IWM,False,True,False,
DIA,2025-01,unknown,40,40,3120,3120,0,0.0,0,0.0,0,0.0,0,40,1458,727,82,0,sip,raw,DIA,DIA,False,True,False,
XLK,2025-01,unknown,40,40,3120,3120,0,0.0,0,0.0,0,0.0,0,40,1161,397,62,0,sip,raw,XLK,XLK,False,True,False,
XLF,2025-01,unknown,40,40,3120,3120,0,0.0,0,0.0,0,0.0,0,40,1643,1001,84,0,sip,raw,XLF,XLF,False,True,False,
XLE,2025-01,unknown,40,40,3120,3120,0,0.0,0,0.0,0,0.0,0,40,1047,646,86,0,sip,raw,XLE,XLE,False,True,False,
XLV,2025-01,unknown,40,40,3120,3120,0,0.0,0,0.0,0,0.0,0,40,433,307,53,0,sip,raw,XLV,XLV,False,True,False,
XLI,2025-01,unknown,40,40,3120,3120,0,0.0,0,0.0,0,0.0,0,41,293,242,48,0,sip,raw,XLI,XLI,False,True,False,
XLY,2025-01,unknown,40,40,3120,3120,0,0.0,0,0.0,0,0.0,0,40,273,185,49,0,sip,raw,XLY,XLY,False,True,False,
XLP,2025-01,unknown,40,40,3120,3120,0,0.0,0,0.0,0,0.0,0,40,272,208,50,0,sip,raw,XLP,XLP,False,True,False,
XLU,2025-01,unknown,40,40,3120,3120,0,0.0,0,0.0,0,0.0,0,40,478,386,53,0,sip,raw,XLU,XLU,False,True,False,
SMH,2025-01,unknown,40,40,3120,3120,0,0.0,0,0.0,0,0.0,0,40,1342,843,72,0,sip,raw,SMH,SMH,False,True,False,
AAPL,2025-02,development,39,39,3042,3042,0,0.0,0,0.0,0,0.0,0,39,2435,1775,0,0,sip,raw,AAPL,AAPL,False,True,False,
ADBE,2025-02,development,39,39,3042,3042,0,0.0,0,0.0,0,0.0,0,39,526,349,0,0,sip,raw,ADBE,ADBE,False,True,False,
AMAT,2025-02,development,39,39,3042,3042,0,0.0,0,0.0,0,0.0,0,39,976,581,0,0,sip,raw,AMAT,AMAT,False,True,False,
AMD,2025-02,development,39,39,3042,3042,0,0.0,0,0.0,0,0.0,0,39,2514,1824,0,0,sip,raw,AMD,AMD,False,True,False,
AMZN,2025-02,development,39,39,3042,3042,0,0.0,0,0.0,0,0.0,0,39,2415,1786,0,0,sip,raw,AMZN,AMZN,False,True,False,
APP,2025-02,development,39,39,3042,3042,0,0.0,0,0.0,0,0.0,0,39,1211,790,0,0,sip,raw,APP,APP,False,True,False,
AVGO,2025-02,development,39,39,3042,3042,0,0.0,0,0.0,0,0.0,0,39,2342,1684,0,0,sip,raw,AVGO,AVGO,False,True,False,
BA,2025-02,development,39,39,3042,3042,0,0.0,0,0.0,0,0.0,0,39,1355,1089,0,0,sip,raw,BA,BA,False,True,False,
BAC,2025-02,development,39,39,3042,3042,0,0.0,0,0.0,0,0.0,0,39,1327,993,0,0,sip,raw,BAC,BAC,False,True,False,
BKNG,2025-02,development,39,39,3042,2633,409,13.4451,0,0.0,0,0.0,0,39,10,64,0,0,sip,raw,BKNG,BKNG,False,True,True,missing_bar_rate
BRK.B,2025-02,development,39,39,3042,3042,0,0.0,0,0.0,0,0.0,0,39,680,512,0,0,sip,raw,BRK.B,BRK.B,False,True,False,
C,2025-02,development,39,39,3042,3042,0,0.0,0,0.0,0,0.0,0,39,1072,744,0,0,sip,raw,C,C,False,True,False,
CEG,2025-02,development,39,39,3042,3042,0,0.0,0,0.0,0,0.0,0,39,886,565,0,0,sip,raw,CEG,CEG,False,True,False,
COIN,2025-02,development,39,39,3042,3042,0,0.0,0,0.0,0,0.0,0,39,2252,1539,0,0,sip,raw,COIN,COIN,False,True,False,
COST,2025-02,development,39,39,3042,3042,0,0.0,0,0.0,0,0.0,0,39,307,293,0,0,sip,raw,COST,COST,False,True,False,
CRM,2025-02,development,39,39,3042,3042,0,0.0,0,0.0,0,0.0,0,39,990,702,0,0,sip,raw,CRM,CRM,False,True,False,
CVX,2025-02,development,39,39,3042,3042,0,0.0,0,0.0,0,0.0,0,39,761,488,0,0,sip,raw,CVX,CVX,False,True,False,
GE,2025-02,development,39,39,3042,3042,0,0.0,0,0.0,0,0.0,0,39,488,321,0,0,sip,raw,GE,GE,False,True,False,
GEV,2025-02,development,39,39,3042,3042,0,0.0,0,0.0,0,0.0,0,39,907,497,0,0,sip,raw,GEV,GEV,False,True,False,
GOOG,2025-02,development,39,39,3042,3042,0,0.0,0,0.0,0,0.0,0,39,2234,1567,0,0,sip,raw,GOOG,GOOG,False,True,False,
GOOGL,2025-02,development,39,39,3042,3042,0,0.0,0,0.0,0,0.0,0,39,2373,1662,0,0,sip,raw,GOOGL,GOOGL,False,True,False,
GS,2025-02,development,39,39,3042,3042,0,0.0,0,0.0,0,0.0,0,39,446,276,0,0,sip,raw,GS,GS,False,True,False,
HD,2025-02,development,39,39,3042,3042,0,0.0,0,0.0,0,0.0,0,39,397,284,0,0,sip,raw,HD,HD,False,True,False,
INTC,2025-02,development,39,39,3042,3042,0,0.0,0,0.0,0,0.0,0,39,2539,1827,0,0,sip,raw,INTC,INTC,False,True,False,
IONQ,2025-02,development,39,39,3042,3042,0,0.0,0,0.0,0,0.0,0,39,2527,1765,0,0,sip,raw,IONQ,IONQ,False,True,False,
JNJ,2025-02,development,39,39,3042,3042,0,0.0,0,0.0,0,0.0,0,39,627,355,0,0,sip,raw,JNJ,JNJ,False,True,False,
JPM,2025-02,development,39,39,3042,3042,0,0.0,0,0.0,0,0.0,0,39,868,608,0,0,sip,raw,JPM,JPM,False,True,False,
LLY,2025-02,development,39,39,3042,3042,0,0.0,0,0.0,0,0.0,0,39,593,379,0,0,sip,raw,LLY,LLY,False,True,False,
MA,2025-02,development,39,39,3042,3042,0,0.0,0,0.0,0,0.0,0,39,151,93,0,0,sip,raw,MA,MA,False,True,False,
META,2025-02,development,39,39,3042,3042,0,0.0,0,0.0,0,0.0,0,39,2050,1556,0,0,sip,raw,META,META,False,True,False,
MRVL,2025-02,development,39,39,3042,3042,0,0.0,0,0.0,0,0.0,0,39,1777,1247,0,0,sip,raw,MRVL,MRVL,False,True,False,
MSFT,2025-02,development,39,39,3042,3042,0,0.0,0,0.0,0,0.0,0,39,2163,1562,0,0,sip,raw,MSFT,MSFT,False,True,False,
MSTR,2025-02,development,39,39,3042,3042,0,0.0,0,0.0,0,0.0,0,39,2477,1752,0,0,sip,raw,MSTR,MSTR,False,True,False,
MU,2025-02,development,39,39,3042,3042,0,0.0,0,0.0,0,0.0,0,39,2232,1674,0,0,sip,raw,MU,MU,False,True,False,
NFLX,2025-02,development,39,39,3042,3042,0,0.0,0,0.0,0,0.0,0,39,896,683,0,0,sip,raw,NFLX,NFLX,False,True,False,
NOW,2025-02,development,39,39,3042,3042,0,0.0,0,0.0,0,0.0,0,39,255,212,0,0,sip,raw,NOW,NOW,False,True,False,
NVDA,2025-02,development,39,39,3042,3042,0,0.0,0,0.0,0,0.0,0,39,2574,1833,0,0,sip,raw,NVDA,NVDA,False,True,False,
ORCL,2025-02,development,39,39,3042,3042,0,0.0,0,0.0,0,0.0,0,39,1497,1004,0,0,sip,raw,ORCL,ORCL,False,True,False,
PLTR,2025-02,development,39,39,3042,3042,0,0.0,0,0.0,0,0.0,0,39,2573,1833,0,0,sip,raw,PLTR,PLTR,False,True,False,
QCOM,2025-02,development,39,39,3042,3042,0,0.0,0,0.0,0,0.0,0,39,1285,773,0,0,sip,raw,QCOM,QCOM,False,True,False,
RGTI,2025-02,development,39,39,3042,3042,0,0.0,0,0.0,0,0.0,0,39,2572,1833,0,0,sip,raw,RGTI,RGTI,False,True,False,
TMO,2025-02,development,39,39,3042,3042,0,0.0,0,0.0,0,0.0,0,39,80,64,0,0,sip,raw,TMO,TMO,False,True,False,
TSLA,2025-02,development,39,39,3042,3042,0,0.0,0,0.0,0,0.0,0,39,2572,1833,0,0,sip,raw,TSLA,TSLA,False,True,False,
TXN,2025-02,development,39,39,3042,3042,0,0.0,0,0.0,0,0.0,0,39,442,311,0,0,sip,raw,TXN,TXN,False,True,False,
UBER,2025-02,development,39,39,3042,3042,0,0.0,0,0.0,0,0.0,0,39,1984,1616,0,0,sip,raw,UBER,UBER,False,True,False,
UNH,2025-02,development,39,39,3042,3042,0,0.0,0,0.0,0,0.0,0,39,457,358,0,0,sip,raw,UNH,UNH,False,True,False,
V,2025-02,development,39,39,3042,3042,0,0.0,0,0.0,0,0.0,0,39,375,257,0,0,sip,raw,V,V,False,True,False,
VST,2025-02,development,39,39,3042,3042,0,0.0,0,0.0,0,0.0,0,39,1755,1260,0,0,sip,raw,VST,VST,False,True,False,
WMT,2025-02,development,39,39,3042,3042,0,0.0,0,0.0,0,0.0,0,39,1565,1241,0,0,sip,raw,WMT,WMT,False,True,False,
XOM,2025-02,development,39,39,3042,3042,0,0.0,0,0.0,0,0.0,0,39,1099,706,0,0,sip,raw,XOM,XOM,False,True,False,
SPY,2025-02,development,39,39,3042,3042,0,0.0,0,0.0,0,0.0,0,39,2460,1787,0,0,sip,raw,SPY,SPY,False,True,False,
QQQ,2025-02,development,39,39,3042,3042,0,0.0,0,0.0,0,0.0,0,39,2566,1802,0,0,sip,raw,QQQ,QQQ,False,True,False,
IWM,2025-02,development,39,39,3042,3042,0,0.0,0,0.0,0,0.0,0,39,2494,1647,0,0,sip,raw,IWM,IWM,False,True,False,
DIA,2025-02,development,39,39,3042,3042,0,0.0,0,0.0,0,0.0,0,39,1327,663,0,0,sip,raw,DIA,DIA,False,True,False,
XLK,2025-02,development,39,39,3042,3042,0,0.0,0,0.0,0,0.0,0,39,1056,438,0,0,sip,raw,XLK,XLK,False,True,False,
XLF,2025-02,development,39,39,3042,3042,0,0.0,0,0.0,0,0.0,0,39,1773,1020,0,0,sip,raw,XLF,XLF,False,True,False,
XLE,2025-02,development,39,39,3042,3042,0,0.0,0,0.0,0,0.0,0,39,1025,603,0,0,sip,raw,XLE,XLE,False,True,False,
XLV,2025-02,development,39,39,3042,3042,0,0.0,0,0.0,0,0.0,0,39,427,316,0,0,sip,raw,XLV,XLV,False,True,False,
XLI,2025-02,development,39,39,3042,3042,0,0.0,0,0.0,0,0.0,0,39,269,269,0,0,sip,raw,XLI,XLI,False,True,False,
XLY,2025-02,development,39,39,3042,3042,0,0.0,0,0.0,0,0.0,0,39,215,129,0,0,sip,raw,XLY,XLY,False,True,False,
XLP,2025-02,development,39,39,3042,3042,0,0.0,0,0.0,0,0.0,0,39,385,257,0,0,sip,raw,XLP,XLP,False,True,False,
XLU,2025-02,development,39,39,3042,3042,0,0.0,0,0.0,0,0.0,0,39,403,381,0,0,sip,raw,XLU,XLU,False,True,False,
SMH,2025-02,development,39,39,3042,3042,0,0.0,0,0.0,0,0.0,0,39,1248,849,0,0,sip,raw,SMH,SMH,False,True,False,
AAPL,2025-03,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,2543,1838,0,0,sip,raw,AAPL,AAPL,False,True,False,
ADBE,2025-03,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,479,402,0,0,sip,raw,ADBE,ADBE,False,True,False,
AMD,2025-03,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,2635,1897,0,0,sip,raw,AMD,AMD,False,True,False,
AMZN,2025-03,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,2596,1899,0,0,sip,raw,AMZN,AMZN,False,True,False,
APP,2025-03,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,1792,1195,0,0,sip,raw,APP,APP,False,True,False,
AVGO,2025-03,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,2424,1788,0,0,sip,raw,AVGO,AVGO,False,True,False,
BA,2025-03,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,1320,1119,0,0,sip,raw,BA,BA,False,True,False,
BAC,2025-03,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,1406,1016,0,0,sip,raw,BAC,BAC,False,True,False,
BKNG,2025-03,development,42,41,3276,2810,466,14.2247,0,0.0,0,0.0,0,41,13,64,0,0,sip,raw,BKNG,BKNG,False,True,True,missing_bar_rate
BRK.B,2025-03,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,851,646,0,0,sip,raw,BRK.B,BRK.B,False,True,False,
COIN,2025-03,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,2366,1653,0,0,sip,raw,COIN,COIN,False,True,False,
COST,2025-03,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,372,341,0,0,sip,raw,COST,COST,False,True,False,
CRM,2025-03,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,799,594,0,0,sip,raw,CRM,CRM,False,True,False,
CRWD,2025-03,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,952,845,0,0,sip,raw,CRWD,CRWD,False,True,False,
CSCO,2025-03,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,1022,715,0,0,sip,raw,CSCO,CSCO,False,True,False,
GOOG,2025-03,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,2412,1703,0,0,sip,raw,GOOG,GOOG,False,True,False,
GOOGL,2025-03,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,2547,1836,0,0,sip,raw,GOOGL,GOOGL,False,True,False,
GS,2025-03,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,390,293,0,0,sip,raw,GS,GS,False,True,False,
HD,2025-03,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,386,296,0,0,sip,raw,HD,HD,False,True,False,
HIMS,2025-03,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,2426,1849,0,0,sip,raw,HIMS,HIMS,False,True,False,
HOOD,2025-03,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,2629,1915,0,0,sip,raw,HOOD,HOOD,False,True,False,
IBM,2025-03,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,524,299,0,0,sip,raw,IBM,IBM,False,True,False,
INTC,2025-03,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,2692,1925,0,0,sip,raw,INTC,INTC,False,True,False,
JNJ,2025-03,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,516,266,0,0,sip,raw,JNJ,JNJ,False,True,False,
JPM,2025-03,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,902,671,0,0,sip,raw,JPM,JPM,False,True,False,
LLY,2025-03,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,521,294,0,0,sip,raw,LLY,LLY,False,True,False,
MA,2025-03,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,136,101,0,0,sip,raw,MA,MA,False,True,False,
META,2025-03,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,2117,1662,0,0,sip,raw,META,META,False,True,False,
MRK,2025-03,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,938,695,0,0,sip,raw,MRK,MRK,False,True,False,
MRVL,2025-03,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,1922,1462,0,0,sip,raw,MRVL,MRVL,False,True,False,
MSFT,2025-03,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,2199,1599,0,0,sip,raw,MSFT,MSFT,False,True,False,
MSTR,2025-03,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,2597,1843,0,0,sip,raw,MSTR,MSTR,False,True,False,
MU,2025-03,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,2287,1689,0,0,sip,raw,MU,MU,False,True,False,
NFLX,2025-03,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,811,631,0,0,sip,raw,NFLX,NFLX,False,True,False,
NOW,2025-03,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,272,202,0,0,sip,raw,NOW,NOW,False,True,False,
NVDA,2025-03,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,2706,1927,0,0,sip,raw,NVDA,NVDA,False,True,False,
ORCL,2025-03,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,1480,982,0,0,sip,raw,ORCL,ORCL,False,True,False,
PLTR,2025-03,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,2706,1927,0,0,sip,raw,PLTR,PLTR,False,True,False,
QCOM,2025-03,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,1099,737,0,0,sip,raw,QCOM,QCOM,False,True,False,
RDDT,2025-03,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,1632,1358,0,0,sip,raw,RDDT,RDDT,False,True,False,
SMCI,2025-03,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,2696,1925,0,0,sip,raw,SMCI,SMCI,False,True,False,
SPOT,2025-03,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,457,261,0,0,sip,raw,SPOT,SPOT,False,True,False,
TEM,2025-03,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,2631,1869,0,0,sip,raw,TEM,TEM,False,True,False,
TSLA,2025-03,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,2704,1927,0,0,sip,raw,TSLA,TSLA,False,True,False,
UBER,2025-03,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,1890,1507,0,0,sip,raw,UBER,UBER,False,True,False,
UNH,2025-03,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,320,317,0,0,sip,raw,UNH,UNH,False,True,False,
V,2025-03,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,403,264,0,0,sip,raw,V,V,False,True,False,
WFC,2025-03,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,691,555,0,0,sip,raw,WFC,WFC,False,True,False,
WMT,2025-03,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,1813,1456,0,0,sip,raw,WMT,WMT,False,True,False,
XOM,2025-03,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,994,664,0,0,sip,raw,XOM,XOM,False,True,False,
SPY,2025-03,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,2606,1902,0,0,sip,raw,SPY,SPY,False,True,False,
QQQ,2025-03,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,2702,1901,0,0,sip,raw,QQQ,QQQ,False,True,False,
IWM,2025-03,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,2619,1778,0,0,sip,raw,IWM,IWM,False,True,False,
DIA,2025-03,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,1437,719,0,0,sip,raw,DIA,DIA,False,True,False,
XLK,2025-03,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,940,457,0,0,sip,raw,XLK,XLK,False,True,False,
XLF,2025-03,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,2061,1045,0,0,sip,raw,XLF,XLF,False,True,False,
