window,symbol,repetition,candidate_probe_id,comparison_probe_id,candidate_hash,comparison_hash,candidate_bars,comparison_bars,volume_difference,classification
window-2023-08-AAPL,AAPL,1,window-2023-08-AAPL-sip-rep1,window-2023-08-AAPL-iex-rep1,9c419965116dc8e515e978637a3eb726f0e0cb9ea58ed4910a2fd993af891361,56d09e4fd2d48619e76bd67bd9c6ff95b714bf2992a47b2ae04f6597a0831809,4316,1816,,different_timestamps
window-2023-08-AAPL,AAPL,2,window-2023-08-AAPL-sip-rep2,window-2023-08-AAPL-iex-rep2,9c419965116dc8e515e978637a3eb726f0e0cb9ea58ed4910a2fd993af891361,56d09e4fd2d48619e76bd67bd9c6ff95b714bf2992a47b2ae04f6597a0831809,4316,1816,,different_timestamps
window-2023-08-JPM,JPM,1,window-2023-08-JPM-sip-rep1,window-2023-08-JPM-iex-rep1,33347599f1d778bb0b663ca8591e13acee9d2966643fc96443f6fcafcba4b393,45979221ffef7a37f949cc6fb1204cc1e1bf538f8601d11b871815700c9b5d16,2453,1748,,different_timestamps
window-2023-08-JPM,JPM,2,window-2023-08-JPM-sip-rep2,window-2023-08-JPM-iex-rep2,33347599f1d778bb0b663ca8591e13acee9d2966643fc96443f6fcafcba4b393,45979221ffef7a37f949cc6fb1204cc1e1bf538f8601d11b871815700c9b5d16,2453,1748,,different_timestamps
window-2024-06-SPY,SPY,1,window-2024-06-SPY-sip-rep1,window-2024-06-SPY-iex-rep1,26790ac27d07469dedda704ca10d19201674962e3d7c2a9c005b00d4515fc4b1,e086676ee0be43cb7db4508bf68e87ce1e46fc971c96c70838e35d67f886f8cc,3526,1500,,different_timestamps
window-2024-06-SPY,SPY,2,window-2024-06-SPY-sip-rep2,window-2024-06-SPY-iex-rep2,26790ac27d07469dedda704ca10d19201674962e3d7c2a9c005b00d4515fc4b1,e086676ee0be43cb7db4508bf68e87ce1e46fc971c96c70838e35d67f886f8cc,3526,1500,,different_timestamps
window-2024-06-AAPL,AAPL,1,window-2024-06-AAPL-sip-rep1,window-2024-06-AAPL-iex-rep1,b7181cbf327971d7a78d31a380641535e202ddac2b2e9cfac54fa0678884877d,0896a01d62783bd3b33c90d7a316600bbbc718ab1a93633e1553a21194cffaae,3568,1487,,different_timestamps
window-2024-06-AAPL,AAPL,2,window-2024-06-AAPL-sip-rep2,window-2024-06-AAPL-iex-rep2,b7181cbf327971d7a78d31a380641535e202ddac2b2e9cfac54fa0678884877d,0896a01d62783bd3b33c90d7a316600bbbc718ab1a93633e1553a21194cffaae,3568,1487,,different_timestamps
window-2024-06-JPM,JPM,1,window-2024-06-JPM-sip-rep1,window-2024-06-JPM-iex-rep1,8445c484e6c04d455841cb16a4919d1095e3a00ef66b16c60c580e214505dd1f,0b9f973d968d9d2a96c0c972ab07239077621be9808fc1885e368da3b799ca31,2008,1419,,different_timestamps
window-2024-06-JPM,JPM,2,window-2024-06-JPM-sip-rep2,window-2024-06-JPM-iex-rep2,8445c484e6c04d455841cb16a4919d1095e3a00ef66b16c60c580e214505dd1f,0b9f973d968d9d2a96c0c972ab07239077621be9808fc1885e368da3b799ca31,2008,1419,,different_timestamps
window-2025-12-SPY,SPY,1,window-2025-12-SPY-sip-rep1,window-2025-12-SPY-iex-rep1,bad02a6c83262190b953806453dfeea6b910389566cdca1e5c2b8bae626408cd,6544e4776acd973ed8e0b0cef109f30c8398ecc78308e2c989efc85000277b7e,4182,1967,,different_timestamps
window-2025-12-SPY,SPY,2,window-2025-12-SPY-sip-rep2,window-2025-12-SPY-iex-rep2,bad02a6c83262190b953806453dfeea6b910389566cdca1e5c2b8bae626408cd,6544e4776acd973ed8e0b0cef109f30c8398ecc78308e2c989efc85000277b7e,4182,1967,,different_timestamps
window-2025-12-AAPL,AAPL,1,window-2025-12-AAPL-sip-rep1,window-2025-12-AAPL-iex-rep1,7cb028f015d41d6a80d465738d6e0a31b5e01dedda0b572a7d8a47ff0b09a010,ea73fb40db69c128067d5b47b4564d37a38d0300fcbcb4a19224d015312e3865,3821,1692,,different_timestamps
window-2025-12-AAPL,AAPL,2,window-2025-12-AAPL-sip-rep2,window-2025-12-AAPL-iex-rep2,7cb028f015d41d6a80d465738d6e0a31b5e01dedda0b572a7d8a47ff0b09a010,ea73fb40db69c128067d5b47b4564d37a38d0300fcbcb4a19224d015312e3865,3821,1692,,different_timestamps
window-2025-12-JPM,JPM,1,window-2025-12-JPM-sip-rep1,window-2025-12-JPM-iex-rep1,5631d686c29eb9a877eaf8c164863158275f4efcd5de7b81ee00631113c82e1d,c94e1d4ab56cebe6e21c3a034d182d9ffc02ff0f75d503bb90c2fe56ea54837c,2718,1679,,different_timestamps
window-2025-12-JPM,JPM,2,window-2025-12-JPM-sip-rep2,window-2025-12-JPM-iex-rep2,5631d686c29eb9a877eaf8c164863158275f4efcd5de7b81ee00631113c82e1d,c94e1d4ab56cebe6e21c3a034d182d9ffc02ff0f75d503bb90c2fe56ea54837c,2718,1679,,different_timestamps
overlap-left-SPY,SPY,1,overlap-left-SPY-sip-rep1,overlap-left-SPY-iex-rep1,cf7deecf81c996b2b5d918c615d50447236ca0dc1bf22c1d5e038fb3511a45da,917dbca1b1e1552feee94022f54f44c2ef74c489ff1af08e9e4ddc4fab50d0a2,1858,790,,different_timestamps
overlap-left-SPY,SPY,2,overlap-left-SPY-sip-rep2,overlap-left-SPY-iex-rep2,cf7deecf81c996b2b5d918c615d50447236ca0dc1bf22c1d5e038fb3511a45da,917dbca1b1e1552feee94022f54f44c2ef74c489ff1af08e9e4ddc4fab50d0a2,1858,790,,different_timestamps
overlap-right-SPY,SPY,1,overlap-right-SPY-sip-rep1,overlap-right-SPY-iex-rep1,683bfa975143343348165579e178f235af2b1c3f31b9fe4d77169200382cbe33,8140907e32b391ac6caa32e7c52dc5cd7af66668996d46ab8110502901dc7fb8,2595,1106,,different_timestamps
overlap-right-SPY,SPY,2,overlap-right-SPY-sip-rep2,overlap-right-SPY-iex-rep2,683bfa975143343348165579e178f235af2b1c3f31b9fe4d77169200382cbe33,8140907e32b391ac6caa32e7c52dc5cd7af66668996d46ab8110502901dc7fb8,2595,1106,,different_timestamps
